# Per-cobra open-loop response of the two blind moves, measured 2026-09-14 with the
# dots rotated 90 deg in theta so both moves were visible to MCS.
#
# landingGain: measured phi change over commanded, for the ramp's move to the
#   landing fraction, whose start is the measured iteration-7 angle.
# targetGain:  the same for the move to dotTarget, commanded as a fraction of the
#   chord from the tracker's belief that it is at the landing fraction.
#
# The two are only weakly related (r = 0.39), so one gain cannot stand for both.
# dotTarget for a depth D, given the measured iteration-7 angle phi7:
#   landed = phi7 + landingGain * (phiAt(landing) - phi7)
#   dotTarget = landing + (phiAt(D) - landed) / (targetGain * chord)
# calibrated False means the fleet default applies.
cobraId,landingGain,targetGain,calibrated
206,0.8578,0.9593,True
207,0.9524,1.2649,True
208,0.8549,1.0014,True
209,1.2215,1.0105,True
210,0.9443,0.7896,True
211,0.9294,0.7946,True
212,1.0486,0.8533,True
213,0.9930,0.9246,True
214,0.9508,0.9085,True
215,1.0209,0.9728,True
216,1.1567,0.9868,True
217,0.8369,0.9878,True
218,1.1896,1.0213,True
219,1.1094,0.8925,True
220,0.9824,0.9843,True
221,1.1498,1.0974,True
222,0.9066,1.0900,True
223,0.9149,1.1692,True
224,1.0309,1.0573,True
225,0.9677,0.8515,True
226,0.9470,1.2339,True
227,0.8542,0.8037,True
228,1.0336,1.0551,True
229,0.9886,0.9117,True
230,1.2843,1.1385,True
231,1.0631,0.8015,True
232,1.0565,1.1506,True
233,1.0461,1.0374,True
234,0.9468,1.0029,True
235,0.9576,1.0795,True
236,1.0388,0.9736,True
237,1.0868,0.7943,True
238,0.8412,0.8881,True
239,0.8693,0.9839,True
240,1.1393,1.0570,True
241,1.1107,1.0694,True
242,0.9515,0.8860,True
243,1.1164,0.8053,True
244,1.0275,0.9179,True
245,0.9392,0.8796,True
246,0.9180,0.9936,True
247,0.9910,1.1883,True
248,0.9541,0.9385,True
249,0.9642,1.0406,True
250,1.1247,1.0660,True
251,1.2180,1.2825,True
252,1.0490,0.9416,True
253,0.9613,0.8381,True
254,0.9888,1.0098,True
255,0.9274,1.0974,True
256,0.9584,0.8542,True
257,1.1193,1.1803,True
258,1.0380,0.9611,True
259,1.0572,0.9978,True
260,0.8858,0.8579,True
261,1.1254,0.9889,True
262,0.9498,1.0336,True
263,0.9313,0.9587,True
264,1.0537,1.1563,True
265,1.0019,1.0724,True
266,1.3326,1.1554,True
267,0.9240,1.1653,True
268,1.0546,1.1778,True
269,1.1068,0.9976,True
270,1.0477,0.9672,True
271,1.1049,0.9733,True
272,0.9311,1.0446,True
273,1.1627,1.3573,True
274,1.0245,1.0764,True
275,1.1196,1.0528,True
276,1.0000,1.0000,False
277,1.1627,1.1619,True
278,0.5542,1.0945,True
279,1.1218,0.7974,True
280,0.7718,1.3909,True
281,1.0232,1.1794,True
282,1.0341,0.9934,True
283,0.8953,0.9353,True
284,1.2740,1.4767,True
285,1.2148,1.3064,True
286,0.9909,1.0119,True
287,0.9692,0.9909,True
288,1.0696,1.0971,True
289,1.0454,0.9915,True
290,1.0042,1.1010,True
291,0.8991,0.7591,True
292,1.0293,1.1083,True
293,0.9674,0.8688,True
294,1.0728,1.0141,True
295,1.1512,1.1832,True
296,1.1662,1.0559,True
297,0.9109,0.9253,True
298,0.9981,0.9952,True
299,1.0099,1.0777,True
300,0.9477,0.9393,True
301,1.2011,1.0632,True
302,1.2254,1.1260,True
303,0.9660,1.0115,True
304,1.0599,1.2144,True
305,1.0550,0.9991,True
306,1.0924,1.0394,True
307,1.2504,1.1561,True
308,1.0817,1.0030,True
309,1.0488,0.9381,True
310,0.9275,1.0570,True
