id,x_meas,y_meas,r_meas,x_tran,y_tran,r_tran
0.00000e+00,5.10150e+03,3.60730e+03,1.14000e+01,5.10250e+03,3.60600e+03,1.00698e+01
1.00000e+00,5.09550e+03,3.71210e+03,1.07200e+01,5.09526e+03,3.71270e+03,1.00691e+01
2.00000e+00,5.08830e+03,3.81930e+03,9.68000e+00,5.08801e+03,3.81939e+03,1.00684e+01
3.00000e+00,5.08050e+03,3.92650e+03,1.02200e+01,5.08077e+03,3.92606e+03,1.00674e+01
4.00000e+00,5.07350e+03,4.03270e+03,9.90000e+00,5.07352e+03,4.03272e+03,1.00664e+01
5.00000e+00,5.06630e+03,4.13930e+03,9.44000e+00,5.06628e+03,4.13935e+03,1.00653e+01
6.00000e+00,5.05890e+03,4.24610e+03,9.56000e+00,5.05903e+03,4.24595e+03,1.00642e+01
7.00000e+00,5.05150e+03,4.35250e+03,1.00400e+01,5.05179e+03,4.35252e+03,1.00630e+01
8.00000e+00,5.04450e+03,4.45930e+03,1.00600e+01,5.04455e+03,4.45906e+03,1.00618e+01
9.00000e+00,5.03730e+03,4.56550e+03,1.00600e+01,5.03731e+03,4.56556e+03,1.00605e+01
1.00000e+01,5.03030e+03,4.67210e+03,9.88000e+00,5.03006e+03,4.67202e+03,1.00590e+01
1.10000e+01,5.02270e+03,4.77830e+03,9.52000e+00,5.02283e+03,4.77843e+03,1.00576e+01
1.20000e+01,5.01570e+03,4.88510e+03,1.01600e+01,5.01559e+03,4.88480e+03,1.00561e+01
1.30000e+01,5.00830e+03,4.99110e+03,9.88000e+00,5.00835e+03,4.99113e+03,1.00546e+01
1.40000e+01,5.00110e+03,5.09710e+03,9.64000e+00,5.00112e+03,5.09739e+03,1.00529e+01
1.50000e+01,4.99390e+03,5.20370e+03,9.84000e+00,4.99389e+03,5.20361e+03,1.00512e+01
1.60000e+01,4.98670e+03,5.30970e+03,1.00800e+01,4.98666e+03,5.30977e+03,1.00496e+01
1.70000e+01,4.97930e+03,5.41550e+03,9.84000e+00,4.97944e+03,5.41586e+03,1.00476e+01
1.80000e+01,4.97270e+03,5.52190e+03,1.04800e+01,4.97222e+03,5.52190e+03,1.00458e+01
1.90000e+01,4.96510e+03,5.62750e+03,9.72000e+00,4.96500e+03,5.62786e+03,1.00438e+01
2.00000e+01,4.95830e+03,5.73350e+03,1.00400e+01,4.95779e+03,5.73377e+03,1.00420e+01
2.10000e+01,4.95050e+03,5.83950e+03,9.28000e+00,4.95058e+03,5.83960e+03,1.00398e+01
2.20000e+01,4.94350e+03,5.94550e+03,9.22000e+00,4.94337e+03,5.94536e+03,1.00379e+01
2.30000e+01,4.93630e+03,6.05130e+03,9.48000e+00,4.93617e+03,6.05105e+03,1.00358e+01
2.40000e+01,4.92890e+03,6.15650e+03,9.40000e+00,4.92898e+03,6.15666e+03,1.00336e+01
2.50000e+01,4.92150e+03,6.26250e+03,9.64000e+00,4.92179e+03,6.26219e+03,1.00314e+01
2.60000e+01,4.91450e+03,6.36750e+03,9.60000e+00,4.91460e+03,6.36765e+03,1.00293e+01
2.70000e+01,4.90750e+03,6.47350e+03,1.02000e+01,4.90743e+03,6.47303e+03,1.00271e+01
2.80000e+01,5.19970e+03,3.55810e+03,1.09400e+01,5.19855e+03,3.55890e+03,1.00699e+01
2.90000e+01,5.19170e+03,3.66530e+03,1.00400e+01,5.19130e+03,3.66561e+03,1.00689e+01
3.00000e+01,5.18410e+03,3.77270e+03,1.01400e+01,5.18405e+03,3.77231e+03,1.00680e+01
3.10000e+01,5.17670e+03,3.87870e+03,1.02800e+01,5.17680e+03,3.87899e+03,1.00669e+01
3.20000e+01,5.16950e+03,3.98550e+03,9.92000e+00,5.16955e+03,3.98566e+03,1.00659e+01
3.30000e+01,5.16230e+03,4.09210e+03,1.00000e+01,5.16230e+03,4.09230e+03,1.00646e+01
3.40000e+01,5.15470e+03,4.19910e+03,9.60000e+00,5.15504e+03,4.19892e+03,1.00634e+01
3.50000e+01,5.14750e+03,4.30550e+03,1.02000e+01,5.14779e+03,4.30551e+03,1.00621e+01
3.60000e+01,5.14050e+03,4.41230e+03,1.00000e+01,5.14053e+03,4.41206e+03,1.00607e+01
3.70000e+01,5.13330e+03,4.51850e+03,1.02000e+01,5.13328e+03,4.51858e+03,1.00593e+01
3.80000e+01,5.12650e+03,4.62570e+03,9.62000e+00,5.12603e+03,4.62507e+03,1.00578e+01
3.90000e+01,5.11850e+03,4.73150e+03,9.94000e+00,5.11877e+03,4.73151e+03,1.00561e+01
4.00000e+01,5.11110e+03,4.83830e+03,1.01200e+01,5.11152e+03,4.83790e+03,1.00545e+01
4.10000e+01,5.10430e+03,4.94450e+03,1.02400e+01,5.10427e+03,4.94425e+03,1.00529e+01
4.20000e+01,5.09690e+03,5.05050e+03,9.96000e+00,5.09702e+03,5.05055e+03,1.00510e+01
4.30000e+01,5.08970e+03,5.15630e+03,1.00200e+01,5.08977e+03,5.15679e+03,1.00493e+01
4.40000e+01,5.08250e+03,5.26310e+03,9.78000e+00,5.08252e+03,5.26298e+03,1.00474e+01
4.50000e+01,5.07510e+03,5.36930e+03,9.80000e+00,5.07528e+03,5.36911e+03,1.00455e+01
4.60000e+01,5.06730e+03,5.47530e+03,1.05200e+01,5.06804e+03,5.47518e+03,1.00435e+01
4.70000e+01,5.06050e+03,5.58090e+03,1.02600e+01,5.06080e+03,5.58118e+03,1.00415e+01
4.80000e+01,5.05350e+03,5.68690e+03,1.01800e+01,5.05356e+03,5.68712e+03,1.00394e+01
4.90000e+01,5.04650e+03,5.79250e+03,9.78000e+00,5.04633e+03,5.79299e+03,1.00373e+01
5.00000e+01,5.03950e+03,5.89850e+03,9.72000e+00,5.03910e+03,5.89878e+03,1.00352e+01
5.10000e+01,5.03150e+03,6.00450e+03,9.76000e+00,5.03187e+03,6.00451e+03,1.00330e+01
5.20000e+01,5.02450e+03,6.11050e+03,9.44000e+00,5.02465e+03,6.11016e+03,1.00308e+01
5.30000e+01,5.01750e+03,6.21550e+03,9.82000e+00,5.01743e+03,6.21574e+03,1.00285e+01
5.40000e+01,5.01070e+03,6.32130e+03,1.01000e+01,5.01022e+03,6.32124e+03,1.00263e+01
5.50000e+01,5.00330e+03,6.42670e+03,9.44000e+00,5.00301e+03,6.42666e+03,1.00240e+01
5.60000e+01,5.29550e+03,3.51110e+03,1.09600e+01,5.29460e+03,3.51179e+03,1.00697e+01
5.70000e+01,5.28610e+03,3.61890e+03,1.07200e+01,5.28735e+03,3.61851e+03,1.00687e+01
5.80000e+01,5.28050e+03,3.72550e+03,1.04600e+01,5.28010e+03,3.72522e+03,1.00676e+01
5.90000e+01,5.27250e+03,3.83210e+03,9.86000e+00,5.27284e+03,3.83191e+03,1.00665e+01
6.00000e+01,5.26550e+03,3.93850e+03,1.02000e+01,5.26558e+03,3.93859e+03,1.00652e+01
6.10000e+01,5.25850e+03,4.04550e+03,9.72000e+00,5.25832e+03,4.04524e+03,1.00639e+01
6.20000e+01,5.25110e+03,4.15190e+03,9.56000e+00,5.25106e+03,4.15187e+03,1.00624e+01
6.30000e+01,5.24350e+03,4.25850e+03,9.72000e+00,5.24380e+03,4.25848e+03,1.00612e+01
6.40000e+01,5.23650e+03,4.36530e+03,9.88000e+00,5.23654e+03,4.36505e+03,1.00595e+01
6.50000e+01,5.22950e+03,4.47150e+03,9.80000e+00,5.22927e+03,4.47159e+03,1.00580e+01
6.60000e+01,5.22250e+03,4.57830e+03,9.76000e+00,5.22200e+03,4.57810e+03,1.00563e+01
6.70000e+01,5.21470e+03,4.68470e+03,9.56000e+00,5.21474e+03,4.68456e+03,1.00545e+01
6.80000e+01,5.20750e+03,4.79110e+03,9.78000e+00,5.20747e+03,4.79098e+03,1.00529e+01
6.90000e+01,5.20010e+03,4.89750e+03,1.00400e+01,5.20020e+03,4.89735e+03,1.00510e+01
7.00000e+01,5.19270e+03,5.00390e+03,1.04400e+01,5.19294e+03,5.00368e+03,1.00493e+01
7.10000e+01,5.18550e+03,5.10970e+03,9.60000e+00,5.18567e+03,5.10995e+03,1.00472e+01
7.20000e+01,5.17810e+03,5.21610e+03,1.01000e+01,5.17840e+03,5.21617e+03,1.00453e+01
7.30000e+01,5.17110e+03,5.32230e+03,9.86000e+00,5.17114e+03,5.32233e+03,1.00431e+01
7.40000e+01,5.16370e+03,5.42830e+03,9.70000e+00,5.16388e+03,5.42842e+03,1.00413e+01
7.50000e+01,5.15550e+03,5.53430e+03,9.86000e+00,5.15662e+03,5.53446e+03,1.00390e+01
7.60000e+01,5.14930e+03,5.63990e+03,9.56000e+00,5.14936e+03,5.64043e+03,1.00369e+01
7.70000e+01,5.14290e+03,5.74550e+03,1.05200e+01,5.14210e+03,5.74634e+03,1.00347e+01
7.80000e+01,5.13550e+03,5.85170e+03,9.50000e+00,5.13485e+03,5.85217e+03,1.00324e+01
7.90000e+01,5.12750e+03,5.95750e+03,9.32000e+00,5.12760e+03,5.95794e+03,1.00302e+01
8.00000e+01,5.12050e+03,6.06350e+03,9.10000e+00,5.12035e+03,6.06363e+03,1.00278e+01
8.10000e+01,5.11310e+03,6.16950e+03,9.62000e+00,5.11311e+03,6.16924e+03,1.00255e+01
8.20000e+01,5.10570e+03,6.27450e+03,9.44000e+00,5.10587e+03,6.27478e+03,1.00232e+01
8.30000e+01,5.09850e+03,6.38050e+03,9.66000e+00,5.09863e+03,6.38025e+03,1.00208e+01
8.40000e+01,5.39150e+03,3.46530e+03,1.01200e+01,5.39065e+03,3.46468e+03,1.00694e+01
8.50000e+01,5.38290e+03,3.57150e+03,1.09600e+01,5.38340e+03,3.57140e+03,1.00683e+01
8.60000e+01,5.37530e+03,3.67710e+03,1.01400e+01,5.37615e+03,3.67812e+03,1.00671e+01
8.70000e+01,5.36930e+03,3.78450e+03,1.02800e+01,5.36889e+03,3.78482e+03,1.00658e+01
8.80000e+01,5.36150e+03,3.89150e+03,1.02600e+01,5.36162e+03,3.89150e+03,1.00645e+01
8.90000e+01,5.35450e+03,3.99810e+03,1.00600e+01,5.35436e+03,3.99817e+03,1.00630e+01
9.00000e+01,5.34730e+03,4.10470e+03,1.01000e+01,5.34709e+03,4.10482e+03,1.00615e+01
9.10000e+01,5.33950e+03,4.21150e+03,9.56000e+00,5.33982e+03,4.21144e+03,1.00598e+01
9.20000e+01,5.33250e+03,4.31850e+03,9.90000e+00,5.33255e+03,4.31803e+03,1.00583e+01
9.30000e+01,5.32550e+03,4.42450e+03,1.00800e+01,5.32527e+03,4.42458e+03,1.00565e+01
9.40000e+01,5.31770e+03,4.53130e+03,1.01600e+01,5.31799e+03,4.53111e+03,1.00548e+01
9.50000e+01,5.31050e+03,4.63770e+03,9.74000e+00,5.31071e+03,4.63759e+03,1.00529e+01
9.60000e+01,5.30350e+03,4.74450e+03,9.84000e+00,5.30343e+03,4.74403e+03,1.00510e+01
9.70000e+01,5.29570e+03,4.85050e+03,1.01200e+01,5.29615e+03,4.85043e+03,1.00491e+01
9.80000e+01,5.28890e+03,4.95710e+03,1.01800e+01,5.28887e+03,4.95678e+03,1.00471e+01
9.90000e+01,5.28150e+03,5.06290e+03,9.60000e+00,5.28159e+03,5.06308e+03,1.00450e+01
1.00000e+02,5.27430e+03,5.16910e+03,9.82000e+00,5.27431e+03,5.16932e+03,1.00429e+01
1.01000e+02,5.26690e+03,5.27530e+03,9.58000e+00,5.26702e+03,5.27551e+03,1.00408e+01
1.02000e+02,5.25950e+03,5.38150e+03,1.02000e+01,5.25974e+03,5.38164e+03,1.00386e+01
1.03000e+02,5.25230e+03,5.48750e+03,9.60000e+00,5.25246e+03,5.48771e+03,1.00364e+01
1.04000e+02,5.24510e+03,5.59350e+03,1.02400e+01,5.24518e+03,5.59372e+03,1.00340e+01
1.05000e+02,5.23750e+03,5.69950e+03,1.00000e+01,5.23790e+03,5.69966e+03,1.00319e+01
1.06000e+02,5.23050e+03,5.80550e+03,9.38000e+00,5.23062e+03,5.80553e+03,1.00295e+01
1.07000e+02,5.22350e+03,5.91150e+03,9.98000e+00,5.22335e+03,5.91133e+03,1.00272e+01
1.08000e+02,5.21590e+03,6.01650e+03,1.01600e+01,5.21608e+03,6.01706e+03,1.00248e+01
1.09000e+02,5.20870e+03,6.12250e+03,9.32000e+00,5.20881e+03,6.12271e+03,1.00223e+01
1.10000e+02,5.20150e+03,6.22850e+03,1.02000e+01,5.20154e+03,6.22829e+03,1.00199e+01
1.11000e+02,5.19450e+03,6.33350e+03,9.34000e+00,5.19428e+03,6.33379e+03,1.00174e+01
1.12000e+02,5.48650e+03,3.41790e+03,1.03000e+01,5.48670e+03,3.41757e+03,1.00692e+01
1.13000e+02,5.47950e+03,3.52450e+03,1.02600e+01,5.47945e+03,3.52430e+03,1.00679e+01
1.14000e+02,5.47150e+03,3.63070e+03,1.05000e+01,5.47220e+03,3.63101e+03,1.00666e+01
1.15000e+02,5.46470e+03,3.73770e+03,1.04800e+01,5.46493e+03,3.73772e+03,1.00651e+01
1.16000e+02,5.45750e+03,3.84450e+03,1.01600e+01,5.45767e+03,3.84442e+03,1.00636e+01
1.17000e+02,5.45070e+03,3.95090e+03,1.03000e+01,5.45040e+03,3.95109e+03,1.00620e+01
1.18000e+02,5.44350e+03,4.05750e+03,1.00000e+01,5.44312e+03,4.05775e+03,1.00604e+01
1.19000e+02,5.43610e+03,4.16450e+03,1.02600e+01,5.43585e+03,4.16438e+03,1.00586e+01
