id_dot,x_dot,y_dot,r_dot
188,4393.86,3098.96,10.0154
189,4300.1,3047.76,10.0124
190,4391.35,2992.07,10.0151
191,4297.6,2940.9,10.012
192,4388.85,2885.21,10.0146
193,4295.11,2834.05,10.0115
194,4386.36,2778.36,10.0141
195,4292.63,2727.22,10.0109
196,4383.87,2671.53,10.0134
197,4290.15,2620.41,10.0103
198,4381.39,2564.72,10.0127
199,4287.68,2513.63,10.0095
200,4378.92,2457.94,10.0119
201,4285.22,2406.88,10.0087
202,4376.45,2351.19,10.011
203,4282.76,2300.15,10.0077
204,4373.99,2244.47,10.01
205,4280.31,2193.46,10.0067
206,4371.53,2137.78,10.0089
207,4277.86,2086.79,10.0057
208,4369.08,2031.13,10.0078
209,4275.42,1980.17,10.0046
210,4366.63,1924.51,10.0065
211,4272.99,1873.58,10.0033
212,4364.18,1817.93,10.0052
213,4270.56,1767.02,10.0021
214,4361.74,1711.38,10.0039
215,4268.13,1660.51,10.0007
216,4359.3,1604.88,10.0025
217,4265.71,1554.03,9.99929
218,4356.87,1498.42,10.0011
219,4263.29,1447.6,9.99778
220,4354.44,1392.0,9.99954
221,4260.88,1341.21,9.996260000000001
222,4352.02,1285.63,9.99795
223,4258.47,1234.87,9.994580000000001
224,4349.6,1179.3,9.996189999999999
225,4256.07,1128.59,9.99285
226,4347.19,1073.03,9.99446
227,4253.68,1022.36,9.991060000000001
228,4344.78,966.824,9.99263
229,4231.79,4065.21,10.0073
230,4138.07,4013.93,10.0042
231,4229.2,3958.39,10.0079
232,4135.48,3907.11,10.0048
233,4226.63,3851.55,10.0084
234,4132.91,3800.28,10.0053
235,4224.07,3744.7,10.0089
236,4130.35,3693.43,10.0057
237,4221.51,3637.83,10.0093
238,4127.8,3586.57,10.006
239,4218.97,3530.95,10.0094
240,4125.25,3479.71,10.0062
241,4216.43,3424.07,10.0096
242,4122.72,3372.84,10.0062
243,4213.9,3317.19,10.0096
244,4120.2,3265.98,10.0062
245,4211.39,3210.31,10.0096
246,4117.69,3159.12,10.006
247,4208.88,3103.44,10.0094
248,4115.19,3052.27,10.0058
249,4206.38,2996.59,10.0091
250,4112.69,2945.43,10.0055
251,4203.89,2889.74,10.0087
252,4110.21,2838.61,10.005
253,4201.41,2782.92,10.0082
254,4107.74,2731.8,10.0046
255,4198.93,2676.11,10.0076
256,4105.27,2625.02,10.004
257,4196.47,2569.33,10.0069
258,4102.82,2518.26,10.0033
259,4194.01,2462.57,10.0061
260,4100.37,2411.53,10.0025
261,4191.55,2355.84,10.0053
262,4097.93,2304.83,10.0017
263,4189.11,2249.14,10.0043
264,4095.49,2198.15,10.0007
265,4186.67,2142.47,10.0033
266,4093.07,2091.51,9.99977
267,4184.24,2035.84,10.0022
268,4090.65,1984.91,9.99868
269,4181.81,1929.24,10.0011
270,4088.23,1878.33,9.99751
271,4179.39,1822.67,9.9999
272,4085.82,1771.8,9.99635
273,4176.97,1716.15,9.99863
274,4083.42,1665.3,9.99502
275,4174.56,1609.66,9.99736
276,4081.03,1558.85,9.99368
277,4172.15,1503.22,9.99585
278,4078.64,1452.43,9.992239999999999
279,4169.75,1396.82,9.99436
280,4076.25,1346.07,9.99071
281,4167.36,1290.46,9.99277
282,4073.88,1239.75,9.98909
283,4164.97,1184.16,9.991060000000001
284,4071.51,1133.48,9.98737
285,4162.59,1077.91,9.98928
286,4049.58,4176.2,9.9995
287,3955.92,4124.92,9.99607
288,4046.97,4069.44,10.0002
289,3953.31,4018.16,9.99675
290,4044.38,3962.65,10.0009
291,3950.72,3911.38,9.99734
292,4041.79,3855.84,10.0014
293,3948.14,3804.57,9.9978
294,4039.22,3749.01,10.0018
295,3945.57,3697.76,9.99822
296,4036.66,3642.18,10.0022
297,3943.01,3590.93,9.998489999999999
298,4034.11,3535.33,10.0024
299,3940.46,3484.1,9.998660000000001
300,4031.57,3428.48,10.0026
301,3937.93,3377.27,9.99873
302,4029.05,3321.63,10.0026
303,3935.41,3270.43,9.99875
304,4026.53,3214.78,10.0025
305,3932.9,3163.61,9.99869
306,4024.02,3107.94,10.0023
307,3930.4,3056.79,9.99847
308,4021.53,3001.11,10.0021
309,3927.91,2949.98,9.99822
310,4019.05,2894.3,10.0018
311,3925.44,2843.18,9.99784
312,4016.57,2787.5,10.0013
313,3922.97,2736.41,9.99738
314,4014.11,2680.72,10.0008
315,3920.52,2629.65,9.99687
316,4011.65,2573.96,10.0002
317,3918.07,2522.92,9.99629
318,4009.21,2467.23,9.99952
319,3915.64,2416.21,9.99558
320,4006.77,2360.52,9.99872
321,3913.21,2309.53,9.994810000000001
322,4004.34,2253.84,9.99789
323,3910.8,2202.88,9.993960000000001
324,4001.92,2147.2,9.99697
325,3908.39,2096.27,9.99305
326,3999.51,2040.58,9.99596
327,3905.99,1989.68,9.99208
328,3997.1,1934.0,9.99492
329,3903.59,1883.13,9.99103
330,3994.7,1827.46,9.9938
331,3901.2,1776.62,9.98984
332,3992.3,1720.95,9.99258
333,3898.83,1670.14,9.98862
334,3989.92,1614.49,9.99127
335,3896.45,1563.71,9.98737
336,3987.54,1508.07,9.9899
337,3894.09,1457.32,9.98594
338,3985.16,1401.69,9.988430000000001
339,3891.73,1350.97,9.98439
340,3982.8,1295.35,9.98687
341,3889.39,1244.68,9.98279
342,3980.44,1189.07,9.98519
343,3867.54,4287.08,9.990969999999999
344,3773.95,4235.8,9.98728
345,3864.91,4180.38,9.991769999999999
346,3771.32,4129.1,9.988
347,3862.29,4073.64,9.992469999999999
348,3768.7,4022.37,9.988660000000001
349,3859.69,3966.89,9.99305
350,3766.1,3915.63,9.9892
351,3857.1,3860.11,9.99357
352,3763.51,3808.86,9.98964
353,3854.51,3753.32,9.994019999999999
354,3760.93,3702.08,9.99
355,3851.95,3646.52,9.99435
356,3758.37,3595.29,9.9903
357,3849.39,3539.71,9.994580000000001
358,3755.82,3488.49,9.9905
359,3846.85,3432.89,9.99474
360,3753.28,3381.69,9.9906
361,3844.32,3326.07,9.9948
362,3750.76,3274.89,9.99065
363,3841.81,3219.26,9.99474
364,3748.25,3168.1,9.9906
365,3839.31,3112.45,9.99465
366,3745.76,3061.31,9.99045
367,3836.82,3005.65,9.99445
368,3743.28,2954.54,9.99025
369,3834.34,2898.86,9.99414
370,3740.81,2847.77,9.98995
371,3831.87,2792.09,9.9938
372,3738.35,2741.03,9.98956
373,3829.42,2685.34,9.99333
374,3735.9,2634.3,9.98911
375,3826.97,2578.61,9.99279
376,3733.47,2527.6,9.988610000000001
377,3824.54,2471.91,9.992189999999999
378,3731.05,2420.92,9.98799
379,3822.11,2365.23,9.99152
380,3728.63,2314.27,9.9873
381,3819.7,2258.58,9.99076
382,3726.23,2207.65,9.98654
383,3817.29,2151.95,9.9899
384,3723.84,2101.05,9.98569
385,3814.9,2045.36,9.989
386,3721.45,1994.49,9.984810000000001
387,3812.51,1938.81,9.988
388,3719.08,1887.97,9.9838
389,3810.13,1832.29,9.986939999999999
390,3716.71,1781.48,9.98268
391,3807.76,1725.81,9.98578
392,3714.36,1675.03,9.981539999999999
393,3805.39,1619.36,9.98456
394,3712.01,1568.62,9.980260000000001
395,3803.04,1512.96,9.98317
396,3709.67,1462.25,9.978810000000001
397,3800.69,1406.61,9.98175
398,3707.34,1355.93,9.977319999999999
399,3798.35,1300.3,9.980139999999999
400,3685.7,4397.84,9.9819
401,3592.18,4346.57,9.97799
402,3683.04,4291.2,9.98271
403,3589.52,4239.93,9.97872
404,3680.4,4184.53,9.983419999999999
405,3586.88,4133.26,9.979410000000001
406,3677.77,4077.83,9.98407
407,3584.25,4026.57,9.97996
408,3675.15,3971.11,9.984630000000001
409,3581.63,3919.86,9.98048
410,3672.55,3864.37,9.98511
411,3579.04,3813.13,9.98093
412,3669.96,3757.62,9.98553
413,3576.45,3706.39,9.98129
414,3667.39,3650.85,9.98589
415,3573.88,3599.64,9.981580000000001
416,3664.83,3544.08,9.98611
417,3571.33,3492.88,9.981810000000001
418,3662.28,3437.3,9.98627
419,3568.79,3386.12,9.98193
420,3659.75,3330.51,9.986360000000001
421,3566.27,3279.36,9.98199
422,3657.24,3223.74,9.98638
423,3563.76,3172.6,9.98199
424,3654.74,3116.96,9.9863
425,3561.27,3065.85,9.981869999999999
426,3652.25,3010.2,9.986130000000001
427,3558.79,2959.1,9.98175
428,3649.78,2903.44,9.98594
429,3556.33,2852.38,9.981489999999999
430,3647.32,2796.71,9.98564
431,3553.87,2745.66,9.981160000000001
432,3644.87,2689.99,9.98522
433,3551.44,2638.97,9.98077
434,3642.43,2583.29,9.98479
435,3549.01,2532.3,9.980319999999999
436,3640.01,2476.61,9.98425
437,3546.6,2425.65,9.97981
438,3637.6,2369.96,9.98365
439,3544.2,2319.03,9.97917
440,3635.2,2263.34,9.98297
441,3541.81,2212.43,9.97852
442,3632.81,2156.74,9.98223
443,3539.43,2105.87,9.97772
444,3630.43,2050.18,9.98137
445,3537.06,1999.34,9.97689
446,3628.06,1943.65,9.98046
447,3534.71,1892.84,9.97594
448,3625.69,1837.16,9.97943
449,3532.36,1786.38,9.97485
450,3623.34,1730.7,9.9783
451,3530.02,1679.95,9.97369
452,3621.0,1624.28,9.9771
453,3527.7,1573.57,9.97241
454,3618.67,1517.91,9.97574
455,3525.39,1467.23,9.97095
456,3616.35,1411.58,9.974260000000001
457,3504.05,4508.48,9.972380000000001
458,3410.61,4457.2,9.96825
459,3501.37,4401.9,9.97316
460,3407.92,4350.63,9.96902
461,3498.7,4295.3,9.973930000000001
462,3405.25,4244.03,9.96968
463,3496.04,4188.66,9.9746
464,3402.6,4137.4,9.97034
465,3493.4,4082.0,9.97522
466,3399.96,4030.75,9.97086
467,3490.77,3975.32,9.97573
468,3397.34,3924.08,9.97134
469,3488.16,3868.62,9.9762
470,3394.73,3817.39,9.97177
471,3485.57,3761.9,9.976560000000001
472,3392.14,3710.69,9.97211
473,3482.99,3655.18,9.9769
474,3389.56,3603.98,9.9724
475,3480.42,3548.44,9.977160000000001
476,3387.01,3497.26,9.97262
477,3477.88,3441.7,9.97733
478,3384.47,3390.54,9.97278
479,3475.34,3334.96,9.97747
480,3381.94,3283.82,9.97289
481,3472.83,3228.22,9.9775
482,3379.43,3177.1,9.97288
483,3470.33,3121.48,9.97747
484,3376.94,3070.38,9.97283
485,3467.84,3014.75,9.97734
486,3374.47,2963.68,9.97274
487,3465.37,2908.04,9.97717
488,3372.01,2856.99,9.97252
489,3462.92,2801.33,9.97693
490,3369.56,2750.31,9.97229
491,3460.48,2694.65,9.97665
492,3367.13,2643.65,9.97195
493,3458.05,2587.98,9.97625
494,3364.71,2537.02,9.97156
495,3455.64,2481.34,9.97578
496,3362.31,2430.4,9.971110000000001
497,3453.23,2374.72,9.97523
498,3359.92,2323.81,9.97053
499,3450.84,2268.12,9.97461
500,3357.54,2217.25,9.96989
501,3448.47,2161.56,9.9739
502,3355.18,2110.71,9.96915
503,3446.1,2055.02,9.97312
504,3352.82,2004.21,9.96833
505,3443.75,1948.52,9.97222
506,3350.48,1897.74,9.967369999999999
507,3441.41,1842.06,9.97123
508,3348.16,1791.31,9.96632
509,3439.07,1735.63,9.970089999999999
510,3345.84,1684.92,9.9651
511,3436.76,1629.24,9.968869999999999
512,3343.54,1578.57,9.96377
513,3434.45,1522.9,9.96744
514,3322.62,4618.97,9.962439999999999
515,3229.25,4567.71,9.958169999999999
516,3319.9,4512.47,9.963239999999999
517,3226.54,4461.21,9.958910000000001
