id,x_meas,y_meas,r_meas,x_tran,y_tran,r_tran
5.60000e+01,4.87130e+03,3.35730e+03,1.04400e+01,4.87156e+03,3.35761e+03,1.00603e+01
5.70000e+01,4.96170e+03,3.29870e+03,1.11600e+01,4.96086e+03,3.29869e+03,1.00613e+01
5.80000e+01,5.05070e+03,3.23830e+03,1.09600e+01,5.05017e+03,3.23977e+03,1.00619e+01
5.90000e+01,5.13910e+03,3.18050e+03,1.03600e+01,5.13948e+03,3.18085e+03,1.00618e+01
6.00000e+01,5.22870e+03,3.12170e+03,1.00000e+01,5.22879e+03,3.12194e+03,1.00614e+01
6.10000e+01,5.31790e+03,3.06290e+03,1.01600e+01,5.31810e+03,3.06303e+03,1.00604e+01
6.20000e+01,5.40750e+03,3.00430e+03,9.82000e+00,5.40741e+03,3.00412e+03,1.00588e+01
6.30000e+01,5.49670e+03,2.94550e+03,9.44000e+00,5.49671e+03,2.94522e+03,1.00570e+01
6.40000e+01,5.58630e+03,2.88650e+03,9.72000e+00,5.58600e+03,2.88633e+03,1.00548e+01
6.50000e+01,5.67550e+03,2.82750e+03,1.02000e+01,5.67527e+03,2.82746e+03,1.00523e+01
6.60000e+01,5.76450e+03,2.76850e+03,1.00400e+01,5.76453e+03,2.76859e+03,1.00495e+01
6.70000e+01,5.85370e+03,2.70950e+03,1.01400e+01,5.85377e+03,2.70974e+03,1.00465e+01
6.80000e+01,5.94350e+03,2.65050e+03,9.74000e+00,5.94300e+03,2.65090e+03,1.00432e+01
6.90000e+01,6.03250e+03,2.59150e+03,9.76000e+00,6.03220e+03,2.59207e+03,1.00396e+01
7.00000e+01,6.12150e+03,2.53270e+03,9.88000e+00,6.12138e+03,2.53326e+03,1.00360e+01
7.10000e+01,6.21050e+03,2.47450e+03,1.00600e+01,6.21055e+03,2.47447e+03,1.00323e+01
7.20000e+01,6.29950e+03,2.41570e+03,9.74000e+00,6.29968e+03,2.41569e+03,1.00284e+01
7.30000e+01,6.38870e+03,2.35710e+03,9.60000e+00,6.38879e+03,2.35693e+03,1.00243e+01
7.40000e+01,6.47830e+03,2.29830e+03,1.01200e+01,6.47788e+03,2.29818e+03,1.00202e+01
7.50000e+01,6.56730e+03,2.23950e+03,9.70000e+00,6.56694e+03,2.23945e+03,1.00158e+01
7.60000e+01,6.65550e+03,2.18050e+03,9.62000e+00,6.65597e+03,2.18075e+03,1.00112e+01
7.70000e+01,6.74330e+03,2.12210e+03,1.09600e+01,6.74498e+03,2.12206e+03,1.00062e+01
7.80000e+01,6.83390e+03,2.06310e+03,9.68000e+00,6.83395e+03,2.06339e+03,1.00009e+01
7.90000e+01,6.92270e+03,2.00490e+03,1.01200e+01,6.92288e+03,2.00475e+03,9.99478e+00
8.00000e+01,7.01150e+03,1.94630e+03,9.62000e+00,7.01178e+03,1.94613e+03,9.98799e+00
8.10000e+01,7.10050e+03,1.88750e+03,1.02000e+01,7.10064e+03,1.88754e+03,9.98037e+00
8.20000e+01,7.18950e+03,1.82870e+03,9.52000e+00,7.18944e+03,1.82899e+03,9.97139e+00
8.30000e+01,7.27850e+03,1.77050e+03,9.76000e+00,7.27819e+03,1.77048e+03,9.96099e+00
8.40000e+01,4.77610e+03,3.30970e+03,1.02600e+01,4.77591e+03,3.30975e+03,1.00590e+01
8.50000e+01,4.86430e+03,3.25090e+03,1.04800e+01,4.86520e+03,3.25083e+03,1.00604e+01
8.60000e+01,4.95350e+03,3.19090e+03,1.11800e+01,4.95450e+03,3.19191e+03,1.00612e+01
8.70000e+01,5.04350e+03,3.13270e+03,1.02200e+01,5.04380e+03,3.13299e+03,1.00615e+01
8.80000e+01,5.13290e+03,3.07430e+03,1.01800e+01,5.13311e+03,3.07408e+03,1.00613e+01
8.90000e+01,5.22250e+03,3.01530e+03,9.98000e+00,5.22242e+03,3.01516e+03,1.00605e+01
9.00000e+01,5.31190e+03,2.95650e+03,1.00600e+01,5.31173e+03,2.95626e+03,1.00594e+01
9.10000e+01,5.40090e+03,2.89750e+03,9.94000e+00,5.40103e+03,2.89736e+03,1.00578e+01
9.20000e+01,5.49050e+03,2.83870e+03,1.00800e+01,5.49032e+03,2.83847e+03,1.00557e+01
9.30000e+01,5.57950e+03,2.77950e+03,1.02000e+01,5.57960e+03,2.77959e+03,1.00534e+01
9.40000e+01,5.66870e+03,2.72050e+03,1.00800e+01,5.66887e+03,2.72072e+03,1.00508e+01
9.50000e+01,5.75830e+03,2.66150e+03,9.74000e+00,5.75812e+03,2.66187e+03,1.00478e+01
9.60000e+01,5.84750e+03,2.60250e+03,9.84000e+00,5.84736e+03,2.60303e+03,1.00446e+01
9.70000e+01,5.93650e+03,2.54370e+03,1.01800e+01,5.93658e+03,2.54420e+03,1.00413e+01
9.80000e+01,6.02570e+03,2.48550e+03,1.02400e+01,6.02577e+03,2.48539e+03,1.00377e+01
9.90000e+01,6.11470e+03,2.42650e+03,1.03000e+01,6.11495e+03,2.42659e+03,1.00340e+01
1.00000e+02,6.20410e+03,2.36770e+03,1.02400e+01,6.20410e+03,2.36781e+03,1.00302e+01
1.01000e+02,6.29310e+03,2.30890e+03,9.68000e+00,6.29323e+03,2.30905e+03,1.00263e+01
1.02000e+02,6.38250e+03,2.25030e+03,1.00600e+01,6.38233e+03,2.25031e+03,1.00222e+01
1.03000e+02,6.47170e+03,2.19150e+03,9.72000e+00,6.47141e+03,2.19158e+03,1.00180e+01
1.04000e+02,6.55970e+03,2.13270e+03,1.04600e+01,6.56046e+03,2.13287e+03,1.00134e+01
1.05000e+02,6.64970e+03,2.07450e+03,9.68000e+00,6.64949e+03,2.07418e+03,1.00087e+01
1.06000e+02,6.73810e+03,2.01550e+03,9.74000e+00,6.73848e+03,2.01552e+03,1.00035e+01
1.07000e+02,6.82710e+03,1.95670e+03,1.01600e+01,6.82744e+03,1.95687e+03,9.99771e+00
1.08000e+02,6.91650e+03,1.89850e+03,9.80000e+00,6.91636e+03,1.89825e+03,9.99131e+00
1.09000e+02,7.00550e+03,1.83950e+03,9.44000e+00,7.00524e+03,1.83966e+03,9.98403e+00
1.10000e+02,7.09390e+03,1.78070e+03,9.68000e+00,7.09408e+03,1.78111e+03,9.97563e+00
1.11000e+02,7.18250e+03,1.72250e+03,9.80000e+00,7.18287e+03,1.72259e+03,9.96597e+00
1.12000e+02,4.68010e+03,3.26210e+03,1.00200e+01,4.68027e+03,3.26190e+03,1.00576e+01
1.13000e+02,4.76970e+03,3.20270e+03,1.03000e+01,4.76955e+03,3.20298e+03,1.00594e+01
1.14000e+02,4.85790e+03,3.14350e+03,1.09600e+01,4.85884e+03,3.14406e+03,1.00605e+01
1.15000e+02,4.94810e+03,3.08490e+03,1.02400e+01,4.94813e+03,3.08514e+03,1.00610e+01
1.16000e+02,5.03730e+03,3.02610e+03,1.04400e+01,5.03744e+03,3.02622e+03,1.00611e+01
1.17000e+02,5.12610e+03,2.96710e+03,1.02600e+01,5.12674e+03,2.96731e+03,1.00606e+01
1.18000e+02,5.21610e+03,2.90830e+03,1.02600e+01,5.21605e+03,2.90840e+03,1.00597e+01
1.19000e+02,5.30530e+03,2.84910e+03,1.02200e+01,5.30535e+03,2.84950e+03,1.00583e+01
1.20000e+02,5.39450e+03,2.79050e+03,1.02000e+01,5.39464e+03,2.79061e+03,1.00564e+01
1.21000e+02,5.48390e+03,2.73150e+03,9.40000e+00,5.48393e+03,2.73173e+03,1.00543e+01
1.22000e+02,5.57350e+03,2.67250e+03,1.01000e+01,5.57321e+03,2.67286e+03,1.00519e+01
1.23000e+02,5.66250e+03,2.61390e+03,1.01200e+01,5.66247e+03,2.61400e+03,1.00491e+01
1.24000e+02,5.75190e+03,2.55510e+03,9.56000e+00,5.75171e+03,2.55516e+03,1.00461e+01
1.25000e+02,5.84130e+03,2.49630e+03,9.48000e+00,5.84094e+03,2.49634e+03,1.00429e+01
1.26000e+02,5.93050e+03,2.43730e+03,1.02200e+01,5.93015e+03,2.43752e+03,1.00394e+01
1.27000e+02,6.01950e+03,2.37870e+03,9.50000e+00,6.01934e+03,2.37873e+03,1.00359e+01
1.28000e+02,6.10870e+03,2.32010e+03,9.74000e+00,6.10850e+03,2.31995e+03,1.00321e+01
1.29000e+02,6.19750e+03,2.26150e+03,9.98000e+00,6.19765e+03,2.26119e+03,1.00283e+01
1.30000e+02,6.28670e+03,2.20270e+03,9.76000e+00,6.28677e+03,2.20244e+03,1.00242e+01
1.31000e+02,6.37590e+03,2.14430e+03,9.78000e+00,6.37586e+03,2.14371e+03,1.00201e+01
1.32000e+02,6.46530e+03,2.08490e+03,1.00400e+01,6.46493e+03,2.08501e+03,1.00157e+01
1.33000e+02,6.55350e+03,2.02570e+03,1.05200e+01,6.55397e+03,2.02632e+03,1.00110e+01
1.34000e+02,6.64330e+03,1.96770e+03,9.96000e+00,6.64299e+03,1.96765e+03,1.00061e+01
1.35000e+02,6.73130e+03,1.90910e+03,1.05200e+01,6.73197e+03,1.90900e+03,1.00005e+01
1.36000e+02,6.82050e+03,1.85050e+03,1.03000e+01,6.82092e+03,1.85038e+03,9.99434e+00
1.37000e+02,6.90950e+03,1.79150e+03,1.02200e+01,6.90982e+03,1.79179e+03,9.98745e+00
1.38000e+02,6.99850e+03,1.73290e+03,9.40000e+00,6.99869e+03,1.73323e+03,9.97969e+00
1.39000e+02,7.08750e+03,1.67450e+03,9.56000e+00,7.08751e+03,1.67470e+03,9.97056e+00
1.40000e+02,4.58490e+03,3.21430e+03,9.68000e+00,4.58466e+03,3.21406e+03,1.00562e+01
1.41000e+02,4.67370e+03,3.15510e+03,1.05200e+01,4.67392e+03,3.15514e+03,1.00581e+01
1.42000e+02,4.76310e+03,3.09610e+03,1.02600e+01,4.76319e+03,3.09622e+03,1.00595e+01
1.43000e+02,4.85250e+03,3.03650e+03,1.07400e+01,4.85248e+03,3.03730e+03,1.00604e+01
1.44000e+02,4.94150e+03,2.97850e+03,1.02600e+01,4.94177e+03,2.97838e+03,1.00608e+01
1.45000e+02,5.03090e+03,2.91970e+03,9.96000e+00,5.03107e+03,2.91947e+03,1.00605e+01
1.46000e+02,5.12010e+03,2.86030e+03,1.07400e+01,5.12037e+03,2.86056e+03,1.00599e+01
1.47000e+02,5.20950e+03,2.80210e+03,1.03000e+01,5.20967e+03,2.80166e+03,1.00587e+01
1.48000e+02,5.29850e+03,2.74250e+03,1.01400e+01,5.29897e+03,2.74276e+03,1.00572e+01
1.49000e+02,5.38850e+03,2.68410e+03,1.00000e+01,5.38826e+03,2.68388e+03,1.00553e+01
1.50000e+02,5.47750e+03,2.62510e+03,9.62000e+00,5.47754e+03,2.62501e+03,1.00530e+01
