spotId,x,y,r
1,-7.100703251846443,6.2585338500204255,0.750886
2,-14.036085067391369,2.270281986069094,0.750811
3,-7.1135841540579205,-1.7430130492800728,0.750919
4,-14.048637463133366,-5.730641762444664,0.750837
5,-7.126191196191263,-9.744009614555788,0.750942
6,-14.060955198433202,-13.731840881347097,0.750874
7,-7.1385798030439105,-17.744563151662213,0.750978
8,-14.073119726529303,-21.73197658035712,0.750895
9,-7.150029436289787,-25.744851036688516,0.750986
10,-14.084281519903138,-29.73171729534147,0.75091
11,-7.1620094908178995,-33.744077415803574,0.751025
12,-14.096116912459772,-37.730776152561354,0.750971
13,-7.173872409388091,-41.74278468702145,0.75107
14,-14.107089594315974,-45.7283966325547,0.750949
15,-7.184802901679999,-49.73981325452069,0.751025
16,-14.117795969568382,-53.72489302215861,0.750966
17,-7.196317354241157,-57.73526836697674,0.751071
18,-14.128468674948882,-61.719514682438636,0.750995
19,-7.206981296480253,-65.72960246946973,0.751101
20,-14.13907304592892,-69.71306995211391,0.751023
21,-7.218290046703845,-73.72291880462926,0.75108
22,-14.148784733274221,-77.70519526126961,0.751003
23,-7.228734552311103,-81.71408191915268,0.751134
24,-14.159251066574507,-85.69596686324826,0.751069
25,-7.239907167647116,-89.70328011888151,0.751121
26,-14.168911104674297,-93.68417636755758,0.751083
27,-7.250241218852719,-97.69151174302834,0.75119
28,-14.178553593145832,-101.67186087720285,0.751073
29,-7.260539574258476,-105.6775322980117,0.751172
30,-14.188187606551807,-109.65740597832897,0.751202
31,-7.270842119658698,-113.66292392804814,0.751327
32,-14.197957134692663,-117.64205586382214,0.751286
33,-7.28117848573373,-121.64721106095371,0.751428
34,-14.20779937013046,-125.62635577859196,0.751407
35,-7.291533725124033,-129.63124487602522,0.751486
36,-14.216951256824004,-133.6093582670713,0.75153
37,-7.301952881169275,-137.61371599939656,0.751767
38,-14.227091078668556,-141.59299720383103,0.751799
39,-7.312481746073064,-145.59780300004675,0.75193
40,-14.236638654375458,-149.5766590341122,0.751979
41,-7.3223570166568095,-153.5810477594998,0.752159
42,-14.246387405528296,-157.56009111516715,0.752262
43,-7.333107779491482,-161.56544503256927,0.752503
44,-14.256397029095712,-165.54607789941426,0.752644
45,-7.343278884878939,-169.55195770775427,0.752841
46,-14.266701034620041,-173.53246822975046,0.75297
47,-7.354382412123504,-177.53892754605565,0.753293
48,-14.277325102520788,-181.52178148182162,0.753478
49,-7.364947851301423,-185.52938764393986,0.753717
50,-14.287557239748642,-189.5128731623038,0.753993
51,-7.375768101544509,-193.52204158212672,0.754406
52,-14.298277249247988,-197.50761670264814,0.754657
53,-7.386898057895185,-201.51870473632331,0.755031
54,-14.309457086227336,-205.5062050520959,0.75541
55,-7.3983617303355915,-209.51945407310933,0.755881
56,-14.321228958990043,-213.5097747152077,0.756338
57,-7.409494979491448,-217.52598674297414,0.757052
58,-20.94528425988985,14.284972920922963,0.750634
59,-27.880142528827548,10.296694666435942,0.750521
60,-20.958732803152223,6.284230221358028,0.750675
61,-27.893293405247668,2.2958007175967694,0.750562
62,-20.97120318143414,-1.7173891009177016,0.75071
63,-27.905464290811693,-5.705281442136956,0.750599
64,-20.983487687247703,-9.718522079919762,0.750744
65,-27.91741953892724,-13.705888924738991,0.750632
66,-20.995560745537027,-17.719250028783144,0.750769
