id,x_meas,y_meas,r_meas,x_tran,y_tran,r_tran
0.00000e+00,5.10230e+03,3.61190e+03,1.09600e+01,5.10263e+03,3.61203e+03,1.00695e+01
1.00000e+00,5.09590e+03,3.71670e+03,1.09600e+01,5.09538e+03,3.71873e+03,1.00689e+01
2.00000e+00,5.08850e+03,3.82550e+03,9.96000e+00,5.08814e+03,3.82542e+03,1.00681e+01
3.00000e+00,5.08070e+03,3.93230e+03,9.96000e+00,5.08090e+03,3.93209e+03,1.00674e+01
4.00000e+00,5.07370e+03,4.03890e+03,9.86000e+00,5.07365e+03,4.03874e+03,1.00665e+01
5.00000e+00,5.06650e+03,4.14550e+03,1.00600e+01,5.06641e+03,4.14537e+03,1.00655e+01
6.00000e+00,5.05930e+03,4.25250e+03,9.44000e+00,5.05916e+03,4.25197e+03,1.00645e+01
7.00000e+00,5.05170e+03,4.35850e+03,1.00400e+01,5.05192e+03,4.35855e+03,1.00633e+01
8.00000e+00,5.04450e+03,4.46550e+03,1.01400e+01,5.04468e+03,4.46509e+03,1.00622e+01
9.00000e+00,5.03730e+03,4.57170e+03,9.84000e+00,5.03744e+03,4.57160e+03,1.00608e+01
1.00000e+01,5.03010e+03,4.67850e+03,9.70000e+00,5.03020e+03,4.67808e+03,1.00596e+01
1.10000e+01,5.02310e+03,4.78470e+03,9.74000e+00,5.02296e+03,4.78451e+03,1.00582e+01
1.20000e+01,5.01610e+03,4.89090e+03,1.01600e+01,5.01572e+03,4.89090e+03,1.00566e+01
1.30000e+01,5.00870e+03,4.99730e+03,9.88000e+00,5.00849e+03,4.99724e+03,1.00550e+01
1.40000e+01,5.00150e+03,5.10330e+03,1.02200e+01,5.00125e+03,5.10353e+03,1.00534e+01
1.50000e+01,4.99350e+03,5.20970e+03,9.88000e+00,4.99402e+03,5.20976e+03,1.00516e+01
1.60000e+01,4.98630e+03,5.31570e+03,9.50000e+00,4.98679e+03,5.31594e+03,1.00498e+01
1.70000e+01,4.97950e+03,5.42210e+03,9.72000e+00,4.97956e+03,5.42206e+03,1.00479e+01
