id,x_meas,y_meas,r_meas,x_tran,y_tran,r_tran
0.00000e+00,5.06290e+03,3.45770e+03,1.07400e+01,5.06247e+03,3.45737e+03,1.00619e+01
1.00000e+00,5.15270e+03,3.39830e+03,1.11800e+01,5.15178e+03,3.39845e+03,1.00625e+01
2.00000e+00,5.24130e+03,3.33990e+03,1.07400e+01,5.24109e+03,3.33954e+03,1.00625e+01
3.00000e+00,5.32930e+03,3.28170e+03,1.06200e+01,5.33041e+03,3.28062e+03,1.00622e+01
4.00000e+00,5.41950e+03,3.22190e+03,1.03000e+01,5.41972e+03,3.22171e+03,1.00612e+01
5.00000e+00,5.50930e+03,3.16270e+03,9.80000e+00,5.50903e+03,3.16280e+03,1.00599e+01
6.00000e+00,5.59850e+03,3.10410e+03,9.40000e+00,5.59833e+03,3.10390e+03,1.00582e+01
7.00000e+00,5.68750e+03,3.04530e+03,9.40000e+00,5.68762e+03,3.04500e+03,1.00561e+01
8.00000e+00,5.77710e+03,2.98650e+03,9.44000e+00,5.77689e+03,2.98611e+03,1.00536e+01
9.00000e+00,5.86650e+03,2.92730e+03,1.02000e+01,5.86615e+03,2.92724e+03,1.00509e+01
1.00000e+01,5.95550e+03,2.86850e+03,9.98000e+00,5.95539e+03,2.86837e+03,1.00479e+01
1.10000e+01,6.04450e+03,2.80950e+03,9.88000e+00,6.04462e+03,2.80952e+03,1.00445e+01
1.20000e+01,6.13390e+03,2.75050e+03,9.60000e+00,6.13382e+03,2.75068e+03,1.00410e+01
1.30000e+01,6.22350e+03,2.69110e+03,1.05400e+01,6.22300e+03,2.69185e+03,1.00373e+01
1.40000e+01,6.31250e+03,2.63290e+03,9.94000e+00,6.31216e+03,2.63304e+03,1.00332e+01
1.50000e+01,6.40150e+03,2.57350e+03,9.96000e+00,6.40129e+03,2.57425e+03,1.00292e+01
1.60000e+01,6.49070e+03,2.51550e+03,9.80000e+00,6.49040e+03,2.51547e+03,1.00250e+01
1.70000e+01,6.57970e+03,2.45670e+03,9.96000e+00,6.57948e+03,2.45671e+03,1.00205e+01
1.80000e+01,6.66850e+03,2.39750e+03,1.04200e+01,6.66853e+03,2.39797e+03,1.00157e+01
1.90000e+01,6.75750e+03,2.33930e+03,9.50000e+00,6.75755e+03,2.33925e+03,1.00109e+01
2.00000e+01,6.84650e+03,2.28050e+03,9.94000e+00,6.84653e+03,2.28054e+03,1.00059e+01
2.10000e+01,6.93550e+03,2.22150e+03,9.60000e+00,6.93549e+03,2.22186e+03,1.00004e+01
2.20000e+01,7.02450e+03,2.16310e+03,9.74000e+00,7.02441e+03,2.16321e+03,9.99473e+00
2.30000e+01,7.11330e+03,2.10450e+03,9.82000e+00,7.11330e+03,2.10457e+03,9.98848e+00
2.40000e+01,7.20230e+03,2.04550e+03,9.56000e+00,7.20214e+03,2.04596e+03,9.98169e+00
2.50000e+01,7.29050e+03,1.98750e+03,1.02000e+01,7.29094e+03,1.98738e+03,9.97432e+00
2.60000e+01,7.37950e+03,1.92890e+03,1.00600e+01,7.37970e+03,1.92883e+03,9.96621e+00
2.70000e+01,7.46850e+03,1.87050e+03,1.01800e+01,7.46840e+03,1.87032e+03,9.95693e+00
2.80000e+01,4.96710e+03,3.41030e+03,1.11600e+01,4.96680e+03,3.40950e+03,1.00608e+01
2.90000e+01,5.05630e+03,3.35110e+03,1.07200e+01,5.05610e+03,3.35058e+03,1.00617e+01
3.00000e+01,5.14670e+03,3.29190e+03,1.07200e+01,5.14541e+03,3.29167e+03,1.00621e+01
3.10000e+01,5.23450e+03,3.23375e+03,1.02500e+01,5.23473e+03,3.23275e+03,1.00618e+01
3.20000e+01,5.32390e+03,3.17410e+03,9.60000e+00,5.32404e+03,3.17384e+03,1.00612e+01
3.30000e+01,5.41350e+03,3.11470e+03,9.78000e+00,5.41335e+03,3.11493e+03,1.00602e+01
3.40000e+01,5.50250e+03,3.05650e+03,9.56000e+00,5.50265e+03,3.05602e+03,1.00587e+01
3.50000e+01,5.59210e+03,2.99730e+03,9.34000e+00,5.59195e+03,2.99712e+03,1.00568e+01
3.60000e+01,5.68150e+03,2.93830e+03,9.90000e+00,5.68123e+03,2.93824e+03,1.00545e+01
3.70000e+01,5.77050e+03,2.87950e+03,1.01800e+01,5.77050e+03,2.87936e+03,1.00519e+01
3.80000e+01,5.85970e+03,2.82050e+03,9.62000e+00,5.85975e+03,2.82049e+03,1.00490e+01
3.90000e+01,5.94950e+03,2.76150e+03,9.98000e+00,5.94899e+03,2.76163e+03,1.00459e+01
4.00000e+01,6.03850e+03,2.70270e+03,9.74000e+00,6.03821e+03,2.70279e+03,1.00425e+01
4.10000e+01,6.12750e+03,2.64370e+03,1.01200e+01,6.12740e+03,2.64397e+03,1.00389e+01
4.20000e+01,6.21650e+03,2.58470e+03,9.82000e+00,6.21658e+03,2.58516e+03,1.00350e+01
4.30000e+01,6.30610e+03,2.52630e+03,9.82000e+00,6.30573e+03,2.52636e+03,1.00310e+01
4.40000e+01,6.39510e+03,2.46710e+03,9.36000e+00,6.39485e+03,2.46758e+03,1.00268e+01
4.50000e+01,6.48370e+03,2.40850e+03,9.94000e+00,6.48395e+03,2.40882e+03,1.00225e+01
4.60000e+01,6.57290e+03,2.34990e+03,9.82000e+00,6.57302e+03,2.35008e+03,1.00180e+01
4.70000e+01,6.66070e+03,2.29230e+03,1.02600e+01,6.66206e+03,2.29136e+03,1.00132e+01
4.80000e+01,6.75050e+03,2.23250e+03,9.48000e+00,6.75107e+03,2.23266e+03,1.00082e+01
4.90000e+01,6.83950e+03,2.17370e+03,1.01600e+01,6.84005e+03,2.17397e+03,1.00030e+01
5.00000e+01,6.92850e+03,2.11550e+03,9.84000e+00,6.92899e+03,2.11531e+03,9.99736e+00
5.10000e+01,7.01770e+03,2.05650e+03,9.86000e+00,7.01790e+03,2.05668e+03,9.99141e+00
5.20000e+01,7.10670e+03,1.99850e+03,9.92000e+00,7.10677e+03,1.99807e+03,9.98501e+00
5.30000e+01,7.19550e+03,1.93950e+03,1.02000e+01,7.19561e+03,1.93949e+03,9.97783e+00
5.40000e+01,7.28450e+03,1.88070e+03,9.40000e+00,7.28439e+03,1.88094e+03,9.97007e+00
5.50000e+01,7.37330e+03,1.82250e+03,9.38000e+00,7.37313e+03,1.82242e+03,9.96123e+00
5.60000e+01,4.87050e+03,3.36090e+03,1.05000e+01,4.87114e+03,3.36163e+03,1.00597e+01
5.70000e+01,4.96150e+03,3.30190e+03,1.11800e+01,4.96044e+03,3.30272e+03,1.00609e+01
5.80000e+01,5.04990e+03,3.24310e+03,1.11800e+01,5.04974e+03,3.24380e+03,1.00615e+01
5.90000e+01,5.13950e+03,3.18530e+03,1.05000e+01,5.13905e+03,3.18489e+03,1.00615e+01
6.00000e+01,5.22830e+03,3.12590e+03,1.03000e+01,5.22836e+03,3.12597e+03,1.00611e+01
6.10000e+01,5.31750e+03,3.06690e+03,9.84000e+00,5.31767e+03,3.06706e+03,1.00604e+01
6.20000e+01,5.40690e+03,3.00850e+03,9.94000e+00,5.40697e+03,3.00815e+03,1.00591e+01
6.30000e+01,5.49650e+03,2.94950e+03,1.02000e+01,5.49627e+03,2.94925e+03,1.00575e+01
6.40000e+01,5.58550e+03,2.89050e+03,1.02000e+01,5.58556e+03,2.89036e+03,1.00554e+01
6.50000e+01,5.67490e+03,2.83150e+03,9.40000e+00,5.67484e+03,2.83148e+03,1.00530e+01
6.60000e+01,5.76450e+03,2.77250e+03,1.00000e+01,5.76410e+03,2.77261e+03,1.00502e+01
