spotId,x,y,r
1,-7.110270,6.254406,0.750886
2,-14.045993,2.265636,0.750811
3,-7.122983,-1.746509,0.750919
4,-14.058525,-5.734672,0.750837
5,-7.135683,-9.746997,0.750942
6,-14.071082,-13.735380,0.750874
7,-7.148423,-17.747168,0.750978
8,-14.083743,-21.735152,0.750895
9,-7.160480,-25.747202,0.750986
10,-14.095656,-29.734659,0.750910
11,-7.173321,-33.746306,0.751025
12,-14.108495,-37.733617,0.750971
13,-7.186296,-41.745025,0.751070
14,-14.120721,-45.731272,0.750949
15,-7.198587,-49.742202,0.751025
16,-14.132928,-53.727941,0.750966
17,-7.211708,-57.737945,0.751071
18,-14.145346,-61.722876,0.750995
19,-7.224222,-65.732709,0.751101
20,-14.157938,-69.716888,0.751023
21,-7.237622,-73.726600,0.751080
22,-14.169877,-77.709616,0.751003
23,-7.250396,-81.718485,0.751134
24,-14.182808,-85.701139,0.751069
25,-7.264134,-89.708555,0.751121
26,-14.195167,-93.690251,0.751083
27,-7.277267,-97.697811,0.751190
28,-14.207741,-101.678992,0.751073
29,-7.290595,-105.685011,0.751172
30,-14.220536,-109.665750,0.751202
31,-7.304156,-113.671740,0.751327
32,-14.233694,-117.651772,0.751286
33,-7.317977,-121.657525,0.751428
34,-14.247150,-125.637606,0.751407
35,-7.332041,-129.643220,0.751486
36,-14.260138,-133.622307,0.751530
37,-7.346390,-137.627518,0.751767
38,-14.274335,-141.607812,0.751799
39,-7.361069,-145.613601,0.751930
40,-14.288158,-149.593510,0.751979
41,-7.375311,-153.599013,0.752159
42,-14.302398,-157.579151,0.752262
43,-7.390644,-161.585752,0.752503
44,-14.317114,-165.567523,0.752644
45,-7.405611,-169.574784,0.752841
46,-14.332336,-173.556477,0.752970
47,-7.421721,-177.564453,0.753293
48,-14.348089,-181.548536,0.753478
49,-7.437503,-185.557796,0.753717
50,-14.363658,-189.542558,0.753993
51,-7.453747,-193.553519,0.754406
52,-14.379922,-197.540420,0.754657
53,-7.470507,-201.553441,0.755031
54,-14.396851,-205.542318,0.755410
55,-7.487805,-209.557642,0.755881
56,-14.414576,-213.549392,0.756338
57,-7.504976,-217.567823,0.757052
58,-20.956132,14.278186,0.750634
59,-27.891160,10.289302,0.750521
60,-20.969183,6.278286,0.750675
61,-27.904062,2.289236,0.750562
62,-20.981519,-1.722611,0.750710
63,-27.916246,-5.711140,0.750599
64,-20.993930,-9.723145,0.750744
65,-27.928474,-13.711166,0.750632
66,-21.006388,-17.723400,0.750769
67,-27.940822,-21.710203,0.750656
68,-21.018132,-25.722635,0.750791
69,-27.952633,-29.709973,0.750704
70,-21.030820,-33.721958,0.750849
71,-27.964633,-37.708346,0.750710
72,-21.042212,-41.719968,0.750846
73,-27.975792,-45.704948,0.750714
74,-21.054266,-49.716963,0.750854
75,-27.987190,-53.701112,0.750752
76,-21.065800,-57.712849,0.750878
77,-27.998804,-61.696169,0.750787
78,-21.078295,-65.706982,0.750920
79,-28.009877,-69.690191,0.750765
80,-21.090187,-73.700001,0.750888
81,-28.021072,-77.682264,0.750847
82,-21.101511,-81.692092,0.750976
83,-28.032627,-85.673134,0.750825
84,-21.113842,-89.682074,0.750947
85,-28.043604,-93.663136,0.750892
86,-21.125642,-97.671464,0.751005
87,-28.054845,-101.651059,0.750884
88,-21.137647,-105.658646,0.751043
89,-28.066487,-109.637529,0.751035
90,-21.150086,-113.644906,0.751169
91,-28.077829,-117.623734,0.751122
92,-21.162126,-121.630830,0.751280
93,-28.090336,-125.609803,0.751206
94,-21.174521,-129.615797,0.751340
95,-28.102483,-133.594091,0.751429
96,-21.188085,-137.601282,0.751648
97,-28.114598,-141.580081,0.751636
98,-21.201469,-145.586767,0.751801
99,-28.127931,-149.566062,0.751837
100,-21.215277,-153.572426,0.752049
101,-28.141136,-157.552206,0.752158
102,-21.228903,-161.559518,0.752407
103,-28.155087,-165.540434,0.752525
104,-21.243915,-169.548126,0.752727
105,-28.169712,-173.529834,0.752891
106,-21.258755,-177.538949,0.753205
107,-28.185182,-181.521856,0.753359
108,-21.274325,-185.531888,0.753631
109,-28.200700,-189.516598,0.753960
110,-21.289903,-193.528147,0.754335
111,-28.216542,-197.515219,0.754584
112,-21.307093,-201.528253,0.754964
113,-28.234141,-205.517620,0.755377
114,-21.324456,-209.532836,0.755828
115,-34.800099,22.300735,0.750314
116,-41.734120,18.311786,0.750169
117,-34.813387,14.300883,0.750354
118,-41.747189,10.312485,0.750206
119,-34.826045,6.300903,0.750391
120,-41.759664,2.313017,0.750245
121,-34.838791,-1.698605,0.750427
122,-41.772303,-5.686775,0.750279
123,-34.850866,-9.698472,0.750462
124,-41.784382,-13.686264,0.750323
125,-34.862345,-17.698075,0.750501
126,-41.795843,-21.685553,0.750351
127,-34.874796,-25.697630,0.750537
128,-41.807281,-29.683876,0.750366
129,-34.885815,-33.696325,0.750546
130,-41.818108,-37.681357,0.750401
131,-34.897538,-41.693344,0.750567
132,-41.829225,-45.678265,0.750431
133,-34.908050,-49.689839,0.750598
134,-41.839835,-53.673902,0.750473
135,-34.919538,-57.685163,0.750643
136,-41.849954,-61.668407,0.750468
137,-34.929778,-65.679414,0.750630
138,-41.860127,-69.661559,0.750516
139,-34.940828,-73.672364,0.750680
140,-41.870055,-77.653413,0.750545
141,-34.951575,-81.664093,0.750700
142,-41.880107,-85.644204,0.750587
143,-34.961744,-89.653311,0.750750
144,-41.890560,-93.633010,0.750594
145,-34.972969,-97.642059,0.750739
146,-41.900509,-101.620368,0.750709
147,-34.983004,-105.629608,0.750879
148,-41.911129,-109.607495,0.750798
149,-34.994374,-113.616248,0.750963
150,-41.921488,-117.594150,0.750925
151,-35.005473,-121.601828,0.751086
152,-41.932298,-125.579629,0.750993
153,-35.016932,-129.586940,0.751200
154,-41.943090,-133.564969,0.751294
155,-35.029182,-137.572604,0.751474
156,-41.954680,-141.550729,0.751450
157,-35.041282,-145.558386,0.751644
158,-41.966883,-149.536569,0.751694
159,-35.053996,-153.544627,0.751925
160,-41.979954,-157.523684,0.752047
161,-35.067550,-161.531815,0.752303
162,-41.993243,-165.512819,0.752368
163,-35.081162,-169.520988,0.752611
164,-42.006677,-173.502432,0.752827
165,-35.095650,-177.512054,0.753115
166,-42.021965,-181.495479,0.753253
167,-35.111072,-185.505725,0.753573
168,-42.036910,-189.490952,0.753925
169,-35.126912,-193.502705,0.754263
170,-42.053984,-197.490216,0.754543
171,-35.143903,-201.503476,0.754941
172,-48.639949,30.320258,0.749899
173,-55.572841,26.331035,0.749725
174,-48.654374,22.321804,0.749947
175,-55.586245,18.333162,0.749761
176,-48.667387,14.323273,0.749999
177,-55.599772,10.334422,0.749804
178,-48.680422,6.323784,0.750039
179,-55.612690,2.336218,0.749854
180,-48.692814,-1.675221,0.750076
181,-55.624955,-5.663043,0.749888
182,-48.705305,-9.674597,0.750111
183,-55.636641,-13.661213,0.749928
184,-48.716401,-17.672889,0.750141
185,-55.647767,-21.659147,0.749961
186,-48.727608,-25.671716,0.750175
187,-55.658334,-29.656951,0.749992
188,-48.738352,-33.668992,0.750205
189,-55.669127,-37.654009,0.750036
190,-48.749301,-41.666323,0.750239
191,-55.679498,-45.649728,0.750070
192,-48.759804,-49.661607,0.750276
193,-55.689197,-53.644759,0.750077
194,-48.769751,-57.656372,0.750281
195,-55.698406,-61.638572,0.750142
196,-48.779797,-65.649816,0.750334
197,-55.708109,-69.631582,0.750167
198,-48.789619,-73.642605,0.750364
199,-55.717209,-77.622691,0.750215
200,-48.798827,-81.633520,0.750408
201,-55.726018,-85.612420,0.750240
202,-48.808463,-89.623145,0.750429
203,-55.735026,-93.601276,0.750320
204,-48.817567,-97.611192,0.750520
205,-55.744094,-101.588868,0.750427
206,-48.827409,-105.598880,0.750621
207,-55.753696,-109.576517,0.750548
208,-48.837038,-113.585221,0.750745
209,-55.763173,-117.562228,0.750622
210,-48.847187,-121.571167,0.750802
211,-55.772461,-125.547623,0.750859
212,-48.857977,-129.556429,0.751078
213,-55.782887,-133.534303,0.751052
214,-48.869000,-137.542993,0.751249
215,-55.793995,-141.519930,0.751250
216,-48.880666,-145.528642,0.751470
217,-55.805251,-149.506859,0.751549
218,-48.892478,-153.515168,0.751799
219,-55.817697,-157.494666,0.751907
220,-48.905380,-161.503580,0.752146
221,-55.830425,-165.484060,0.752241
222,-48.918466,-169.492917,0.752530
223,-55.844443,-173.475425,0.752720
224,-48.932787,-177.485450,0.752977
225,-55.858967,-181.468265,0.753213
226,-48.947518,-185.479725,0.753574
227,-55.874418,-189.465253,0.753864
228,-48.963843,-193.477597,0.754191
229,-62.475493,38.336262,0.749440
230,-69.406300,34.347622,0.749217
231,-62.490636,30.339622,0.749476
232,-69.421357,26.350901,0.749267
233,-62.504467,22.342351,0.749514
234,-69.435006,18.354180,0.749310
235,-62.517719,14.345041,0.749562
236,-69.448071,10.356624,0.749352
237,-62.531103,6.346812,0.749608
238,-69.460590,2.358875,0.749395
239,-62.543143,-1.651658,0.749640
240,-69.473330,-5.638451,0.749438
241,-62.555361,-9.649755,0.749685
242,-69.484792,-13.636181,0.749474
243,-62.567020,-17.647567,0.749723
244,-69.495757,-21.632945,0.749517
245,-62.577402,-25.645188,0.749770
246,-69.506146,-29.629569,0.749547
247,-62.588077,-33.642042,0.749810
248,-69.515908,-37.625348,0.749584
249,-62.598211,-41.637418,0.749835
250,-69.526032,-45.620516,0.749642
251,-62.607643,-49.632785,0.749869
252,-69.535168,-53.614528,0.749678
253,-62.616848,-57.626331,0.749933
254,-69.543677,-61.607982,0.749718
255,-62.626364,-65.619561,0.749949
256,-69.552609,-69.599716,0.749783
257,-62.634615,-73.610923,0.750010
258,-69.560371,-77.590483,0.749804
259,-62.643295,-81.601548,0.750028
260,-69.568510,-85.579711,0.749908
261,-62.652228,-89.590548,0.750125
262,-69.576764,-93.568155,0.750006
263,-62.660506,-97.578891,0.750222
264,-69.585589,-101.556436,0.750115
265,-62.669356,-105.566430,0.750335
266,-69.593599,-109.543323,0.750200
267,-62.678113,-113.552701,0.750411
268,-69.602178,-117.528845,0.750406
269,-62.687407,-121.538465,0.750632
270,-69.612069,-125.516073,0.750608
271,-62.697200,-129.525351,0.750834
272,-69.621999,-133.502039,0.750794
273,-62.707730,-137.511092,0.751024
274,-69.632119,-141.488831,0.751059
275,-62.718425,-145.497869,0.751311
276,-69.642791,-149.475937,0.751407
277,-62.730370,-153.485239,0.751662
278,-69.654738,-157.465270,0.751709
279,-62.742733,-161.474154,0.751969
280,-69.667980,-165.454890,0.752171
281,-62.755615,-169.465261,0.752451
282,-69.681267,-173.447332,0.752579
283,-62.769908,-177.457791,0.752883
284,-69.696213,-181.442602,0.753227
285,-62.785138,-185.453785,0.753545
286,-76.305126,46.348330,0.748915
287,-83.234104,42.359501,0.748667
288,-76.321051,38.354125,0.748951
289,-83.249983,34.365253,0.748713
290,-76.335749,30.358688,0.748991
291,-83.264453,26.370361,0.748756
292,-76.350728,22.362583,0.749032
293,-83.278357,18.374003,0.748795
