spotId,x,y,r
1,-7.111126446502215,6.267211953251451,0.7508859999999999
2,-14.046410640432573,2.27917532087421,0.7508110000000001
3,-7.123971023288541,-1.7342166719957215,0.750919
4,-14.05893702950766,-5.721620018834757,0.750837
5,-7.136548017756822,-9.73512778735224,0.7509420000000001
6,-14.07123534580087,-13.722724593130312,0.750874
7,-7.148913483063814,-17.735630801567847,0.750978
8,-14.083387674137244,-21.722801731130172,0.750895
9,-7.160347512764642,-25.735905221808824,0.750986
10,-14.094545123679586,-29.722521995526066,0.75091
11,-7.17232012494178,-33.73515724763543,0.7510250000000002
12,-14.10638463832466,-37.721600557159064,0.7509709999999999
13,-7.184184393238996,-41.73393139723379,0.75107
14,-14.117370550579484,-45.71928304684412,0.750949
15,-7.195125654524414,-49.731070194925564,0.7510250000000002
16,-14.128099883916674,-53.715885821555254,0.750966
17,-7.206660917306831,-57.72668090462278,0.751071
18,-14.138805895244435,-61.71066030422141,0.750995
19,-7.2173563373677245,-65.72121813442578,0.7511010000000001
20,-14.149454547728588,-69.70441693091279,0.751023
21,-7.228707859658915,-73.71478713819403,0.75108
22,-14.159222118156555,-77.69679425399966,0.751003
23,-7.239207045479659,-81.70625458737594,0.751134
24,-14.169756551558521,-85.68787051218563,0.751069
25,-7.25044687456942,-89.69581076285112,0.7511209999999999
26,-14.179497522635133,-93.67643942843371,0.751083
27,-7.260861297426919,-97.68445622178137,0.75119
28,-14.18923441538846,-101.66454022061194,0.751073
29,-7.271253793101633,-105.67094842412281,0.751172
30,-14.198976906998654,-109.65056046215969,0.751202
31,-7.281664887269027,-113.65687167436636,0.751327
32,-14.208869624514398,-117.63574647515878,0.751286
33,-7.292124827956713,-121.64175244634963,0.751428
34,-14.218850393996545,-125.6206456301681,0.751407
35,-7.302619305293954,-129.6264440673998,0.751486
36,-14.228156764356577,-133.60431254485547,0.75153
37,-7.31319396300473,-137.60963912856283,0.751767
38,-14.238467687417728,-141.58868320348884,0.751799
39,-7.323895284288806,-145.59451858294565,0.7519299999999999
40,-14.248203594380188,-149.5731462398743,0.751979
41,-7.33396053431309,-153.57862624974695,0.752159
42,-14.2581585314083,-157.55745101283736,0.752262
43,-7.3449194955073915,-161.56395905930555,0.752503
44,-14.268392904993668,-165.54438440414657,0.752644
45,-7.355317664678066,-169.5514823008361,0.752841
46,-14.27894080461312,-173.53179713871734,0.7529699999999999
47,-7.366667734438145,-177.53953950911162,0.753293
48,-14.289828630414508,-181.5222110611771,0.7534779999999999
49,-7.377499911003537,-185.531166509705,0.753717
50,-14.30034499308003,-189.51448377242176,0.7539929999999999
51,-7.388607714813327,-193.52506880119844,0.7544059999999999
52,-14.31137042266951,-197.51049107445863,0.754657
53,-7.4000467637111464,-201.52306423942002,0.755031
54,-14.322877544602825,-205.51042817342213,0.7554099999999999
55,-7.411841737152011,-209.5252320385816,0.755881
56,-14.334999286014744,-213.51543400070943,0.756338
57,-7.423329227778738,-217.53327200792873,0.757052
58,-20.955520277742867,14.29372268552276,0.7506339999999999
59,-27.89017849846324,10.30566389027652,0.7505210000000001
60,-20.968941359701226,6.29318152703145,0.750675
61,-27.90331191515838,2.304982677677063,0.750562
62,-20.981389933072737,-1.708266944608023,0.7507099999999999
63,-27.915471318039273,-5.695918504729367,0.750599
64,-20.99365890616558,-9.709261893616576,0.750744
65,-27.927421668249636,-13.696378880858173,0.750632
66,-21.005723333743767,-17.709886737977584,0.750769
67,-27.93924206664514,-21.695758824310058,0.750656
68,-21.016825403957522,-25.709399977260794,0.750791
69,-27.950278495265778,-29.695779916296882,0.750704
70,-21.02862594630353,-33.708908814459285,0.7508490000000001
71,-27.961260146177953,-37.69431138126816,0.7507099999999999
72,-21.038888396564385,-41.70701196651221,0.750846
73,-27.97116033030994,-45.690978823880734,0.750714
74,-21.049573660988244,-49.70400658793733,0.750854
75,-27.98106185534438,-53.6871145231147,0.750752
76,-21.059502979840435,-57.69979828378101,0.750878
77,-27.99094493479049,-61.6820489122342,0.750787
