id,x_dot,y_dot,r_dot
9.90000e+01,6.54482e+03,3.95726e+03,1.00090e+01
1.00000e+02,6.63848e+03,4.00846e+03,1.00061e+01
1.01000e+02,6.73209e+03,4.05965e+03,1.00031e+01
1.02000e+02,6.82568e+03,4.11081e+03,9.99998e+00
1.03000e+02,6.91922e+03,4.16197e+03,9.99687e+00
1.04000e+02,7.01273e+03,4.21310e+03,9.99365e+00
1.05000e+02,7.10621e+03,4.26421e+03,9.99023e+00
1.06000e+02,7.19964e+03,4.31530e+03,9.98674e+00
1.07000e+02,7.29303e+03,4.36638e+03,9.98311e+00
1.08000e+02,7.38637e+03,4.41742e+03,9.97915e+00
1.09000e+02,7.47967e+03,4.46845e+03,9.97485e+00
1.10000e+02,7.57292e+03,4.51945e+03,9.97026e+00
1.11000e+02,7.66611e+03,4.57042e+03,9.96514e+00
1.12000e+02,5.13462e+03,3.08115e+03,1.00294e+01
1.13000e+02,5.22854e+03,3.13242e+03,1.00300e+01
1.14000e+02,5.32246e+03,3.18371e+03,1.00303e+01
1.15000e+02,5.41638e+03,3.23500e+03,1.00303e+01
1.16000e+02,5.51030e+03,3.28629e+03,1.00300e+01
1.17000e+02,5.60422e+03,3.33759e+03,1.00294e+01
1.18000e+02,5.69813e+03,3.38889e+03,1.00284e+01
1.19000e+02,5.79202e+03,3.44019e+03,1.00271e+01
1.20000e+02,5.88590e+03,3.49149e+03,1.00257e+01
1.21000e+02,5.97976e+03,3.54278e+03,1.00239e+01
1.22000e+02,6.07360e+03,3.59407e+03,1.00219e+01
1.23000e+02,6.16741e+03,3.64535e+03,1.00198e+01
1.24000e+02,6.26120e+03,3.69662e+03,1.00175e+01
1.25000e+02,6.35496e+03,3.74788e+03,1.00150e+01
1.26000e+02,6.44870e+03,3.79913e+03,1.00123e+01
1.27000e+02,6.54240e+03,3.85037e+03,1.00096e+01
1.28000e+02,6.63606e+03,3.90159e+03,1.00067e+01
1.29000e+02,6.72970e+03,3.95280e+03,1.00037e+01
1.30000e+02,6.82330e+03,4.00398e+03,1.00007e+01
1.31000e+02,6.91686e+03,4.05516e+03,9.99746e+00
1.32000e+02,7.01038e+03,4.10631e+03,9.99421e+00
1.33000e+02,7.10387e+03,4.15745e+03,9.99097e+00
1.34000e+02,7.19732e+03,4.20856e+03,9.98750e+00
1.35000e+02,7.29073e+03,4.25966e+03,9.98379e+00
1.36000e+02,7.38409e+03,4.31073e+03,9.97993e+00
1.37000e+02,7.47741e+03,4.36179e+03,9.97581e+00
1.38000e+02,7.57068e+03,4.41282e+03,9.97126e+00
1.39000e+02,7.66389e+03,4.46382e+03,9.96628e+00
1.40000e+02,5.13208e+03,2.97420e+03,1.00290e+01
1.41000e+02,5.22600e+03,3.02546e+03,1.00297e+01
1.42000e+02,5.31992e+03,3.07674e+03,1.00300e+01
1.43000e+02,5.41385e+03,3.12802e+03,1.00301e+01
1.44000e+02,5.50777e+03,3.17931e+03,1.00299e+01
1.45000e+02,5.60169e+03,3.23061e+03,1.00292e+01
1.46000e+02,5.69560e+03,3.28191e+03,1.00284e+01
1.47000e+02,5.78950e+03,3.33321e+03,1.00272e+01
1.48000e+02,5.88338e+03,3.38451e+03,1.00258e+01
1.49000e+02,5.97725e+03,3.43581e+03,1.00242e+01
1.50000e+02,6.07110e+03,3.48711e+03,1.00222e+01
1.51000e+02,6.16492e+03,3.53840e+03,1.00201e+01
1.52000e+02,6.25872e+03,3.58968e+03,1.00178e+01
1.53000e+02,6.35250e+03,3.64095e+03,1.00154e+01
1.54000e+02,6.44624e+03,3.69221e+03,1.00128e+01
1.55000e+02,6.53995e+03,3.74347e+03,1.00100e+01
1.56000e+02,6.63363e+03,3.79470e+03,1.00072e+01
1.57000e+02,6.72728e+03,3.84593e+03,1.00042e+01
1.58000e+02,6.82089e+03,3.89713e+03,1.00012e+01
1.59000e+02,6.91447e+03,3.94833e+03,9.99805e+00
1.60000e+02,7.00801e+03,3.99950e+03,9.99495e+00
1.61000e+02,7.10152e+03,4.05066e+03,9.99155e+00
1.62000e+02,7.19498e+03,4.10180e+03,9.98813e+00
1.63000e+02,7.28840e+03,4.15292e+03,9.98452e+00
1.64000e+02,7.38179e+03,4.20402e+03,9.98074e+00
1.65000e+02,7.47512e+03,4.25510e+03,9.97666e+00
1.66000e+02,7.56841e+03,4.30615e+03,9.97227e+00
1.67000e+02,7.66165e+03,4.35718e+03,9.96743e+00
1.68000e+02,5.12955e+03,2.86727e+03,1.00285e+01
1.69000e+02,5.22346e+03,2.91852e+03,1.00292e+01
1.70000e+02,5.31738e+03,2.96978e+03,1.00297e+01
1.71000e+02,5.41130e+03,3.02106e+03,1.00298e+01
1.72000e+02,5.50523e+03,3.07234e+03,1.00297e+01
1.73000e+02,5.59915e+03,3.12364e+03,1.00291e+01
1.74000e+02,5.69306e+03,3.17493e+03,1.00283e+01
1.75000e+02,5.78696e+03,3.22623e+03,1.00273e+01
1.76000e+02,5.88086e+03,3.27754e+03,1.00259e+01
1.77000e+02,5.97473e+03,3.32884e+03,1.00242e+01
1.78000e+02,6.06859e+03,3.38014e+03,1.00224e+01
1.79000e+02,6.16242e+03,3.43144e+03,1.00204e+01
1.80000e+02,6.25623e+03,3.48273e+03,1.00182e+01
1.81000e+02,6.35001e+03,3.53401e+03,1.00158e+01
1.82000e+02,6.44377e+03,3.58529e+03,1.00132e+01
