spotId,x,y,r
131,-33.75411972221996,-40.23122487729179,0.7505671561481001
132,-40.741937249607936,-44.13794776612763,0.7504314582771698
133,-33.862413317140835,-48.23942910703408,0.7505981522336092
134,-40.85058076383225,-52.14518816699032,0.7504734054202389
135,-33.971714930280754,-56.24681770380493,0.7506425639439438
136,-40.9587601424856,-60.15165186049917,0.7504680099728512
137,-34.07978959443192,-64.2534819740631,0.750629647201289
138,-41.06700815628412,-68.1570766705453,0.7505164366062085
139,-34.18868773577988,-72.25912949654659,0.7506801962389947
140,-41.175019549439654,-76.16148395520506,0.7505451984397237
141,-34.29728774281368,-80.26382080671529,0.7506999910397517
142,-41.28315807666449,-84.16506949228356,0.750587262257887
143,-34.40528894335389,-88.26623070553829,0.75075028046777
144,-41.391680660877924,-92.16687057123944,0.7505938656671683
145,-34.51434565588648,-96.26834712650889,0.7507391413715486
146,-41.499680894622344,-100.16740021349287,0.750709158864071
147,-34.62219120960244,-104.26943259251001,0.7508785881453077
148,-41.60834092664229,-108.16782802323065,0.7507984017387842
149,-34.731349785965335,-112.26970959676451,0.7509629719062083
150,-41.71671729011824,-116.16788812712248,0.7509250075833453
151,-34.84020238594421,-120.26901385655077,0.75108628932196
152,-41.825505841658014,-124.16683056393725,0.7509931852290214
153,-34.949382121145995,-128.2678925075185,0.7511996240410146
154,-41.93424105311891,-132.16566606224154,0.7512941884186323
155,-35.059322560392815,-136.26732762742589,0.7514743043858959
156,-42.04374077561847,-140.1649084859965,0.7514495457261468
157,-35.16907003641703,-144.26686174447366,0.75164426849869
158,-42.15380605611575,-148.16418377176927,0.751693879255957
159,-35.2793855363024,-152.26679117975561,0.7519245287318905
160,-42.264699067522464,-156.16465098476945,0.7520469432626459
161,-35.3904932046635,-160.26756693754024,0.7523029930839237
162,-42.37577220607841,-164.1670289487679,0.7523682309173563
163,-35.5016149075438,-168.2702020256644,0.7526105162284223
164,-42.486922683799975,-172.1697396676411,0.7528265793351051
165,-35.6135605324844,-176.274561039976,0.7531150712793918
166,-42.5998925343835,-180.17568593882606,0.7532526892356178
167,-35.72638939977348,-184.28131933180364,0.7535728752891102
168,-42.71245994186824,-188.18385237952057,0.7539253617292417
169,-35.83958610404959,-192.2911550189992,0.754262636299623
170,-42.827111406974566,-196.19553785605225,0.7545434282115512
171,-35.953881205874346,-200.3045050490523,0.7549411475253315
172,-46.62906434364756,32.0273982870853,0.7498987338802092
173,-53.61470513073551,28.116454173694624,0.7497252105273161
174,-46.7409910680742,24.022814424536424,0.7499469703444126
175,-53.72590049956405,20.112382552965787,0.7497609041617926
176,-46.85162672079825,16.01744292784203,0.7499987301108804
177,-53.83734703177048,12.106768340860032,0.7498042511897803
178,-46.9624094513223,8.010455335967315,0.7500385417191793
179,-53.948286144775594,4.101042403532834,0.7498544114139744
180,-47.072646075163185,0.0033218026703238923,0.7500757445809614
181,-54.05868493563231,-3.906353413862084,0.7498878039821424
182,-47.183082901849055,-8.0047676140809,0.7501105600225076
183,-54.168582316152495,-11.913231200848074,0.7499278668505062
184,-47.292196985233005,-16.01233880804782,0.7501412408523568
185,-54.2779997782506,-19.920412469982967,0.749960606165009
186,-47.401507680196005,-24.02095884778451,0.750174910265521
187,-54.38693015515445,-27.927965797392392,0.7499919746987486
188,-47.51040555246807,-32.0285080331705,0.7502048319009755
189,-54.49614440702688,-35.935228541464326,0.7500357102064963
190,-47.61957136071654,-40.036552217212815,0.7502385003236172
191,-54.60497639173638,-43.94158058209231,0.750069817323285
192,-47.72831777854396,-48.0429576164545,0.750276498826434
193,-54.71317698120264,-51.947639622642555,0.7500769429818154
194,-47.83654731140363,-56.049220302885075,0.7502814637185821
195,-54.82091349758432,-59.95283751735827,0.7501421068808056
196,-47.94489565003578,-64.05449291253937,0.7503339010091943
197,-54.92916670127744,-67.9575400849938,0.7501667508719475
198,-48.053040380948,-72.05941060846257,0.7503644573857586
199,-55.03681692550037,-75.96062770054787,0.7502147735185618
200,-48.16056752744304,-80.0627200625824,0.7504084972521787
201,-55.144174477426006,-83.96258032654417,0.7502402820310751
202,-48.26851770305651,-88.06495949184234,0.7504291878735648
203,-55.25172802543987,-91.96386549200543,0.7503201498547987
