spotId,x,y,r
1,-5.077257557838295,7.162480058511916,0.750885778226234
2,-12.06462769227477,3.255693437457928,0.7508107215782516
3,-5.185614241113103,-0.8416741922174187,0.7509188307936547
4,-12.17274178116883,-4.747865366134854,0.75083686907878
5,-5.294159085800883,-8.844704443634464,0.7509417959044702
6,-12.28109404999858,-12.751110479424197,0.7508743810185464
7,-5.40294781330876,-16.84668462846811,0.7509779402173722
8,-12.389744355824527,-20.75266822043372,0.7508947866304185
9,-5.511256070116793,-24.847768604967936,0.7509864597624314
10,-12.497848261779357,-28.75318706424797,0.7509103119723936
11,-5.620542375173095,-32.847112456944465,0.7510249599768578
12,-12.60707437684094,-36.752327186964045,0.7509710910236361
13,-5.730160177514875,-40.84523476344891,0.7510695686371797
14,-12.71587483780716,-44.74931867584974,0.7509487643498428
15,-5.839277174906224,-48.84095329271538,0.751024717247075
16,-12.824845677651922,-52.74443885681784,0.7509657652488759
17,-5.949407939539734,-56.83432451707107,0.7510714615237309
18,-12.934205518766317,-60.73690130875914,0.7509946033422421
19,-6.059118155015633,-64.82578628761023,0.7511008181950078
20,-13.043927248496445,-68.72748539536887,0.7510231524857364
21,-6.169902244588571,-72.81539335136121,0.7510801481500133
22,-13.15317782896982,-76.71580577289795,0.7510033434383723
23,-6.280232956556578,-80.80199786961889,0.7511344629461154
24,-13.26360273960921,-84.70188787599436,0.7510689698508534
25,-6.39170139124536,-88.7857391506923,0.7511208430133907
26,-13.373621347409278,-92.68451140095478,0.7510834555905143
27,-6.502749753116479,-96.7676008995499,0.7511898767956354
28,-13.484044696911281,-100.66567287360908,0.7510731785088305
29,-6.614162369699535,-104.74630038357176,0.7511723793286963
30,-13.594858014399026,-108.64372896464474,0.7512023799301637
31,-6.725994773712983,-112.72338785790642,0.7513266584224335
32,-13.70621811975836,-116.61988893182983,0.7512859768602588
33,-6.83826694235762,-120.69835627906883,0.7514281465808706
34,-13.818065311345409,-124.59466898125702,0.7514067869925534
35,-6.950973279822407,-128.67202570428663,0.7514859225312317
36,-13.929621539410615,-132.5670994200418,0.7515299223562869
37,-7.064136428283059,-136.64305842038755,0.7517669482167074
38,-14.042585717188716,-140.53906332131223,0.7517989993181515
39,-7.177842393657036,-144.61459499670687,0.7519295745624273
40,-14.15536786118497,-148.50993399701957,0.7519790373756096
41,-7.29129026091137,-152.58416115650536,0.7521589264439669
42,-14.268754847185802,-156.4794204864631,0.7522620368865228
43,-7.40603539160771,-160.55370013308283,0.7525026841706366
44,-14.382839476202541,-164.45026995567625,0.7526443056131382
45,-7.520629016836242,-168.5241564500925,0.7528413644763877
46,-14.497624326177077,-172.4203037357727,0.7529698580405846
47,-7.63656165189321,-176.49382811481294,0.7532926517214255
48,-14.613165247932452,-180.39200520002333,0.7534777755563615
49,-7.7523980906262295,-184.46572800203035,0.7537171002851757
50,-14.728733098670066,-188.3642086109824,0.7539925118139672
51,-7.868912529541398,-192.43852006301105,0.7544061221447781
52,-14.84522867606719,-196.33874161892845,0.7546567274523123
53,-7.986179991353207,-200.41398456814196,0.7550311616732509
54,-14.962625449892691,-204.31576407361618,0.7554096919024229
55,-8.104225272584861,-208.39216462728555,0.7558811683862569
56,-15.081068691517242,-212.29637685865814,0.7563383344296013
57,-8.222403578868112,-216.37472722559136,0.7570517685068551
